Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sri Lanka,LKA,46.2829627990723
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Kitts and Nevis,KNA,2.03761649131775
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Lucia,LCA,1.9576119184494
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Martin (French part),MAF,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Vincent and the Grenadines,VCT,1.53349506855011
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sudan,SDN,3.37343001365662
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Suriname,SUR,2.42850780487061
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sweden,SWE,8.822586
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Switzerland,CHE,1.201964
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Syrian Arab Republic,SYR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tajikistan,TJK,2.03031325340271
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tanzania,TZA,848.679565429688
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Thailand,THA,12.7310800552368
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Timor-Leste,TLS,0.432427953166528
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Togo,TGO,243.553085327148
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tonga,TON,1.48707316355253
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Trinidad and Tobago,TTO,4.10672616958618
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tunisia,TUN,0.766765475273132
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turkey,TUR,1.241052
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turkmenistan,TKM,1.61278636436468
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turks and Caicos Islands,TCA,1.07165396213531
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tuvalu,TUV,1.17643774758909
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uganda,UGA,1211.94018554688
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ukraine,UKR,5.01420640945435
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United Arab Emirates,ARE,2.18975210189819
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United Kingdom,GBR,0.688603
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United States,USA,1
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uruguay,URY,22.453821182251
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uzbekistan,UZB,1179.95670461133
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Vanuatu,VUT,104.312190872425
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Venezuela, RB",VEN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Vietnam,VNM,7315.61279296875
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Virgin Islands (U.S.),VIR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,West Bank and Gaza,PSE,0.559459893110007
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Yemen, Rep.",YEM,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Zambia,ZMB,3.87882661819458
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Zimbabwe,ZWE,0.521861791610718
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Arab World,ARB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Caribbean small states,CSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Central Europe and the Baltics,CEB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Early-demographic dividend,EAR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific,EAS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific (excluding high income),EAP,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific (IDA & IBRD countries),TEA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Euro area,EMU,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia,ECS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia (excluding high income),ECA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia (IDA & IBRD countries),TEC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,European Union,EUU,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Fragile and conflict affected situations,FCS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Heavily indebted poor countries (HIPC),HPC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,High income,HIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IBRD only,IBD,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA & IBRD total,IBT,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA blend,IDB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA only,IDX,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA total,IDA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Late-demographic dividend,LTE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & Caribbean,LCN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & Caribbean (excluding high income),LAC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Least developed countries: UN classification,LDC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Low & middle income,LMY,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Low income,LIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lower middle income,LMC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa,MEA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa (excluding high income),MNA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa (IDA & IBRD countries),TMN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle income,MIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North America,NAC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Not classified,INX,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,OECD members,OED,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Other small states,OSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pacific island small states,PSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Post-demographic dividend,PST,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pre-demographic dividend,PRE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Small states,SST,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Asia,SAS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Asia (IDA & IBRD),TSA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa,SSF,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa (excluding high income),SSA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Upper middle income,UMC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,World,WLD,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/17/2021,,,,
